"C","N","Z","A","SYM","ORIG","Excess","unc1","BEA","unc2","btype","benergy","bunc","mass","munc","halflife","spin-parity","Qbeta","Qposi","Qec","Qalpha"
" ",75,49,124,"In ","    ",-80870.0,30.0,8414.34,0.25,"B-",7360.0,30.0,123.91318,30.0,"3.12 s","(1)+",7.3642,-5.1903,-4.1683,-7.642916
" ",74,50,124,"Sn ","    ",-88234.2,1.0,8467.421,0.008,"B-",-613.9,1.5,123.9052767,1.1,"45 us","(10+)",-0.614,-8.3862,-7.3642,-6.702116
" ",73,51,124,"Sb ","  -n",-87620.2,1.5,8456.16,0.012,"B-",2905.07,0.13,123.9059358,1.6,"93 s","5+",2.9051,-0.408,0.614,-4.315116
" ",72,52,124,"Te ","    ",-90525.3,1.5,8473.279,0.012,"B-",-3159.6,1.9,123.9028171,1.6,"stable","0+",-3.1596,-3.9271,-2.9051,-1.851816
" ",71,53,124,"I  ","   -",-87365.7,2.4,8441.489,0.019,"B-",295.7,2.8,123.906209,2.6,"4.1760 d","2-",0.2957,2.1376,3.1596,-1.372616
" ",70,54,124,"Xe ","    ",-87661.4,1.8,8437.565,0.014,"  ","*","*",123.90589159999999,1.9,"1.6e+14 y","0+",-5.9304,-1.3177,-0.2957,-0.718316
" ",69,55,124,"Cs ","   x",-81731.0,8.0,8383.43,0.07,"B+",5930.0,8.0,123.912258,9.0,"30.8 s","1+",-2.641,4.9084,5.9304,-0.402916
" ",68,56,124,"Ba ","   x",-79090.0,12.0,8355.82,0.1,"B+",2642.0,15.0,123.915094,13.0,"11.0 m","0+",-8.83,1.619,2.641,0.657084
" ",67,57,124,"La ","   x",-70260.0,60.0,8278.3,0.5,"B+",8830.0,60.0,123.92457,60.0,"None","None",-5.34,7.808,8.83,1.204084
" ",66,58,124,"Ce ","   x",-64920.0,300.0,8229.0,2.0,"B+",5340.0,300.0,123.93031,320.0,"6 s","0+",-11.77,4.318,5.34,1.545084
" ",65,59,124,"Pr ","   x",-53150.0,400.0,8128.0,3.0,"B+",11770.0,500.0,123.94294,430.0,"1.2 s","",-8.62,10.748,11.77,1.995084
" ",64,60,124,"Nd ","   x",-44530.0,500.0,8052.0,4.0,"B+",8630.0,640.0,123.9522,540.0,"None","None",0.0,7.598,8.62,2.645084
"0",80,45,125,"Rh ","   x",-42000.0,500.0,8126.0,4.0,"B-",12120.0,640.0,124.95491,540.0,"26.5 ms","",12.12,0.0,0.0,-12.644916
" ",79,46,125,"Pd ","   x",-54120.0,400.0,8216.0,3.0,"B-",10400.0,590.0,124.9419,430.0,"57 ms","",10.4,-13.142,-12.12,-11.494916
" ",78,47,125,"Ag ","   x",-64520.0,430.0,8293.0,3.0,"B-",8830.0,430.0,124.93074,470.0,"0.166 s","(7/2+)",8.8281,-11.422,-10.4,-10.694916
" ",77,48,125,"Cd ","    ",-73348.1,2.9,8357.681,0.023,"B-",7129.0,27.0,124.921258,3.0,"0.68 s","(3/2+)",7.1289,-9.8501,-8.8281,-9.591016
" ",76,49,125,"In ","    ",-80477.0,27.0,8408.45,0.22,"B-",5420.0,27.0,124.913605,29.0,"5.0 ms","(23/2-)",5.4194,-8.1509,-7.1289,-8.498916
" ",75,50,125,"Sn ","    ",-85896.4,1.0,8445.55,0.008,"B-",2359.9,2.6,124.9077864,1.1,"6.2 us","(19/2+)",2.3599,-6.4414,-5.4194,-7.247516
" ",74,51,125,"Sb ","   +",-88256.3,2.6,8458.17,0.021,"B-",766.7,2.1,124.905253,2.8,"25 us","(19/2-)",0.7667,-3.3819,-2.3599,-4.845216
" ",73,52,125,"Te ","    ",-89023.0,1.5,8458.045,0.012,"  ","*","*",124.90442990000001,1.6,"57.40 d","11/2-",-0.1858,-1.7887,-0.7667,-2.250616
" ",72,53,125,"I  ","   -",-88837.2,1.5,8450.3,0.012,"B+",185.77,0.06,124.9046293,1.6,"59.400 d","5/2+",-1.6438,-0.8362,0.1858,-1.661816
" ",71,54,125,"Xe ","    ",-87193.4,1.8,8430.89,0.015,"B+",1643.8,2.2,124.9063941,2.0,"16.9 h","1/2(+)",-3.1054,0.6218,1.6438,-1.072316
" ",70,55,125,"Cs ","    ",-84088.0,8.0,8399.79,0.06,"B+",3105.0,8.0,124.909728,8.0,"46.7 m","1/2(+)",-4.419,2.0834,3.1054,-0.261916
" ",69,56,125,"Ba ","    ",-79669.0,11.0,8358.18,0.09,"B+",4419.0,13.0,124.914472,12.0,"3.3 m","1/2(+)",-5.91,3.397,4.419,0.387084
" ",68,57,125,"La ","    ",-73759.0,26.0,8304.64,0.21,"B+",5909.0,28.0,124.920816,28.0,"64.8 s","(3/2+)",-7.099,4.888,5.91,0.918084
" ",67,58,125,"Ce ","   x",-66660.0,200.0,8242.0,2.0,"B+",7100.0,200.0,124.92844,210.0,"10.2 s","(5/2+)",-8.72,6.077,7.099,1.655084
" ",66,59,125,"Pr ","   x",-57940.0,300.0,8166.0,2.0,"B+",8720.0,360.0,124.9378,320.0,"3.3 s","",-10.34,7.698,8.72,1.825084
" ",65,60,125,"Nd ","   x",-47600.0,400.0,8077.0,3.0,"B+",10340.0,500.0,124.9489,430.0,"0.65 s","(5/2)",0.0,9.318,10.34,2.665084
"0",81,45,126,"Rh ","   x",-37300.0,500.0,8088.0,4.0,"B-",14560.0,640.0,125.95996,540.0,"19 ms","",14.56,0.0,0.0,0.0
" ",80,46,126,"Pd ","   x",-51860.0,400.0,8197.0,3.0,"B-",8820.0,450.0,125.94433,430.0,"23.0 ms","(10+)",8.82,-15.582,-14.56,-12.134916
" ",79,47,126,"Ag ","   x",-60680.0,200.0,8261.0,2.0,"B-",11580.0,200.0,125.93486,220.0,"27 us","(1-)",11.5768,-9.842,-8.82,-11.024916
" ",78,48,126,"Cd ","    ",-72256.8,2.5,8346.747,0.02,"B-",5516.0,27.0,125.92242909999999,2.7,"0.515 s","0+",5.5162,-12.5988,-11.5768,-10.065716
" ",77,49,126,"In ","    ",-77773.0,27.0,8384.32,0.21,"B-",8242.0,27.0,125.916507,29.0,"1.53 s","3(+)",8.242,-6.5382,-5.5162,-9.087916
" ",76,50,126,"Sn ","    ",-86015.0,10.0,8443.52,0.08,"B-",380.0,30.0,125.907659,11.0,"2.30e+5 y","0+",0.375,-9.264,-8.242,-7.827516
" ",75,51,126,"Sb ","   -",-86390.0,30.0,8440.31,0.25,"B-",3670.0,30.0,125.90725,30.0,"19.15 m","(5+)",3.6753,-1.397,-0.375,-5.244916
" ",74,52,126,"Te ","    ",-90065.3,1.5,8463.248,0.012,"B-",-2154.0,4.0,125.90331090000001,1.6,"stable","0+",-2.1543,-4.6973,-3.6753,-2.548916
" ",73,53,126,"I  ","    ",-87911.0,4.0,8439.94,0.03,"B-",1236.0,5.0,125.905623,4.0,"12.93 d","2-",1.236,1.1323,2.1543,-2.000516
" ",72,54,126,"Xe ","    ",-89147.0,3.0,8443.541,0.028,"  ","*","*",125.904297,4.0,"stable","0+",-4.796,-2.258,-1.236,-1.257416
" ",71,55,126,"Cs ","    ",-84351.0,10.0,8399.27,0.08,"B+",4796.0,11.0,125.909446,11.0,"1.64 m","1+",-1.681,3.774,4.796,-0.695916
" ",70,56,126,"Ba ","   x",-82670.0,12.0,8379.72,0.1,"B+",1681.0,16.0,125.91125,13.0,"100 m","0+",-7.7,0.659,1.681,0.260084
" ",69,57,126,"La ","   x",-74970.0,90.0,8312.4,0.7,"B+",7700.0,90.0,125.91951,100.0,"54 s","(5+)",-4.149,6.678,7.7,0.745084
" ",68,58,126,"Ce ","   x",-70821.0,28.0,8273.26,0.22,"B+",4150.0,90.0,125.92397,30.0,"51.0 s","0+",-10.501,3.127,4.149,1.363084
" ",67,59,126,"Pr ","   x",-60320.0,200.0,8184.0,2.0,"B+",10500.0,200.0,125.93524,210.0,"3.14 s","ge 4",-7.33,9.479,10.501,1.795084
" ",66,60,126,"Nd ","   x",-52990.0,300.0,8119.0,2.0,"B+",7330.0,360.0,125.94311,320.0,"None","None",-13.64,6.308,7.33,2.455084
" ",65,61,126,"Pm ","   x",-39350.0,500.0,8005.0,4.0,"B+",13640.0,580.0,125.95776,540.0,"None","None",0.0,12.618,13.64,3.005084
"0",82,45,127,"Rh ","   x",-34030.0,600.0,8062.0,5.0,"B-",13150.0,780.0,126.96347,640.0,"20 ms","",13.15,0.0,0.0,0.0
" ",81,46,127,"Pd ","   x",-47180.0,500.0,8159.0,4.0,"B-",11260.0,540.0,126.94935,540.0,"38 ms","",11.26,-14.172,-13.15,-12.524916
" ",80,47,127,"Ag ","   x",-58440.0,200.0,8242.0,2.0,"B-",10310.0,200.0,126.93726,220.0,"109 ms","",10.307,-12.282,-11.26,-11.504916
" ",79,48,127,"Cd ","   x",-68747.0,12.0,8316.95,0.1,"B-",8149.0,24.0,126.926197,13.0,"0.37 s","(3/2+)",8.149,-11.329,-10.307,-10.741916
" ",78,49,127,"In ","    ",-76896.0,21.0,8374.95,0.17,"B-",6575.0,19.0,126.917449,23.0,"1.09 s","(9/2+)",6.575,-9.171,-8.149,-9.770916
" ",77,50,127,"Sn ","    ",-83471.0,10.0,8420.56,0.08,"B-",3229.0,11.0,126.91039,11.0,"4.52 us","(19/2+)",3.228,-7.597,-6.575,-8.481716
" ",76,51,127,"Sb ","    ",-86699.0,5.0,8439.82,0.04,"B-",1582.0,5.0,126.906924,6.0,"3.85 d","7/2+",1.5827,-4.25,-3.228,-5.693916
" ",75,52,127,"Te ","    ",-88281.7,1.5,8446.118,0.012,"B-",702.0,4.0,126.9052257,1.6,"106.1 d","11/2-",0.7023,-2.6047,-1.5827,-2.890416
" ",74,53,127,"I  ","    ",-88984.0,4.0,8445.487,0.029,"  ","*","*",126.904472,4.0,"stable","5/2+",-0.662,-1.7243,-0.7023,-2.184816
" ",73,54,127,"Xe ","    ",-88322.0,4.0,8434.11,0.03,"B+",662.3,2.0,126.905183,4.0,"36.4 d","1/2+",-2.082,-0.36,0.662,-1.574716
" ",72,55,127,"Cs ","    ",-86240.0,6.0,8411.56,0.04,"B+",2081.0,6.0,126.907417,6.0,"6.25 h","1/2+",-3.422,1.06,2.082,-0.720916
" ",71,56,127,"Ba ","    ",-82818.0,11.0,8378.46,0.09,"B+",3422.0,13.0,126.911091,12.0,"12.7 m","1/2+",-4.922,2.4,3.422,0.006084
" ",70,57,127,"La ","    ",-77896.0,26.0,8333.54,0.2,"B+",4922.0,28.0,126.916375,28.0,"5.1 m","(11/2-)",-5.917,3.9,4.922,0.723084
" ",69,58,127,"Ce ","   x",-71979.0,29.0,8280.79,0.23,"B+",5920.0,40.0,126.92273,30.0,"34 s","(1/2+)",-7.439,4.895,5.917,1.251084
" ",68,59,127,"Pr ","   x",-64540.0,200.0,8216.0,2.0,"B+",7440.0,200.0,126.93071,210.0,"4.2 s","",-9.0,6.417,7.439,1.685084
" ",67,60,127,"Nd ","   x",-55540.0,300.0,8139.0,2.0,"B+",9010.0,360.0,126.94038,320.0,"1.8 s","",-10.75,7.978,9.0,2.325084
" ",66,61,127,"Pm ","   x",-44790.0,400.0,8048.0,3.0,"B+",10750.0,500.0,126.95192,430.0,"None","None",0.0,9.728,10.75,3.015084
"0",82,46,128,"Pd ","   x",-44490.0,500.0,8138.0,4.0,"B-",10130.0,580.0,127.95224,540.0,"5.8 us","(8+)",10.13,0.0,0.0,-12.954916
" ",81,47,128,"Ag ","   x",-54620.0,300.0,8211.0,2.0,"B-",12620.0,300.0,127.94136,320.0,"58 ms","",12.622,-11.152,-10.13,-12.154916
" ",80,48,128,"Cd ","    ",-67242.0,7.0,8303.26,0.06,"B-",6900.0,150.0,127.927813,8.0,"0.28 s","0+",6.908,-13.644,-12.622,-11.276916
" ",79,49,128,"In ","    ",-74150.0,150.0,8351.1,1.2,"B-",9220.0,150.0,127.9204,160.0,"0.84 s","(3)+",9.212,-7.93,-6.908,-10.374916
" ",78,50,128,"Sn ","    ",-83362.0,18.0,8416.98,0.14,"B-",1268.0,14.0,127.910507,19.0,"6.5 s","(7-)",1.268,-10.234,-9.212,-9.085216
" ",77,51,128,"Sb ","  IT",-84630.0,19.0,8420.78,0.15,"B-",4363.0,19.0,127.909146,21.0,"10.4 m","5+",4.3637,-2.29,-1.268,-6.184916
" ",76,52,128,"Te ","    ",-88993.7,0.9,8448.752,0.007,"B-",-1255.0,4.0,127.9044613,0.9,"7.7e+24 y","0+",-1.2547,-5.3857,-4.3637,-3.184416
" ",75,53,128,"I  ","    ",-87739.0,4.0,8432.836,0.028,"B-",2122.0,4.0,127.905809,4.0,"24.99 m","1+",2.1213,0.2327,1.2547,-2.543716
" ",74,54,128,"Xe ","    ",-89860.3,1.1,8443.298,0.008,"  ","*","*",127.903531,1.1,"stable","0+",-3.9283,-3.1433,-2.1213,-1.759916
" ",73,55,128,"Cs ","    ",-85932.0,5.0,8406.49,0.04,"B+",3929.0,5.0,127.907749,6.0,"3.66 m","1+",-0.554,2.9063,3.9283,-0.991216
" ",72,56,128,"Ba ","    ",-85378.0,5.0,8396.06,0.04,"B+",553.0,8.0,127.908342,6.0,"2.43 d","0+",-6.748,-0.468,0.554,-0.141516
" ",71,57,128,"La ","   x",-78630.0,50.0,8337.2,0.4,"B+",6750.0,50.0,127.91559,60.0,"5.18 m","(5+)",-3.096,5.726,6.748,0.676084
" ",70,58,128,"Ce ","   x",-75534.0,28.0,8306.93,0.22,"B+",3090.0,60.0,127.91891,30.0,"3.93 m","0+",-9.203,2.074,3.096,1.131084
" ",69,59,128,"Pr ","   x",-66331.0,30.0,8228.91,0.23,"B+",9200.0,40.0,127.92879,30.0,"2.85 s","4,5,6",-6.021,8.181,9.203,1.504084
" ",68,60,128,"Nd ","   x",-60310.0,200.0,8176.0,2.0,"B+",6020.0,200.0,127.93525,210.0,"5 s","0+",-12.52,4.999,6.021,2.185084
" ",67,61,128,"Pm ","   x",-47790.0,300.0,8072.0,2.0,"B+",12530.0,360.0,127.9487,320.0,"1.0 s","5,6,7",-9.12,11.498,12.52,2.935084
" ",66,62,128,"Sm ","   x",-38670.0,500.0,7994.0,4.0,"B+",9120.0,580.0,127.95849,540.0,"None","None",0.0,8.098,9.12,3.435084
"0",83,46,129,"Pd ","   x",-37610.0,600.0,8084.0,5.0,"B-",14370.0,720.0,128.95962,640.0,"31 ms","",14.37,0.0,0.0,0.0
" ",82,47,129,"Ag ","   x",-51980.0,400.0,8189.0,3.0,"B-",11080.0,400.0,128.9442,430.0,"46 ms","(9/2+)",11.078,-15.392,-14.37,-12.404916
" ",81,48,129,"Cd ","   x",-63058.0,17.0,8269.03,0.13,"B-",9780.0,17.0,128.932304,18.0,"154 ms","11/2-",9.7797,-12.1,-11.078,-11.362916
" ",80,49,129,"In ","    ",-72837.7,2.7,8338.78,0.021,"B-",7753.0,17.0,128.9218055,2.9,"0.610 s","9/2+",7.7533,-10.8017,-9.7797,-10.742616
" ",79,50,129,"Sn ","    ",-80591.0,17.0,8392.82,0.13,"B-",4038.0,27.0,128.913482,19.0,"3.40 us","(19/2+)",4.038,-8.7753,-7.7533,-9.667816
" ",78,51,129,"Sb ","   +",-84629.0,21.0,8418.06,0.16,"B-",2375.0,21.0,128.909147,23.0,"17.7 m","(19/2-)",2.3758,-5.06,-4.038,-6.576916
" ",77,52,129,"Te ","    ",-87004.8,0.9,8430.409,0.007,"B-",1502.0,3.0,128.9065965,0.9,"33.6 d","11/2-",1.5022,-3.3978,-2.3758,-3.533316
" ",76,53,129,"I  ","    ",-88507.0,3.0,8435.99,0.025,"B-",189.0,3.0,128.904984,3.0,"1.57e+7 y","7/2+",0.189059,-2.5242,-1.5022,-2.675616
" ",75,54,129,"Xe ","    ",-88696.059,0.005,8431.39,0.0,"  ","*","*",128.904780859,0.006,"8.88 d","11/2-",-1.197059,-1.211059,-0.189059,-2.097975
" ",74,55,129,"Cs ","    ",-87499.0,5.0,8416.05,0.04,"B+",1197.0,5.0,128.906066,5.0,"32.06 h","1/2+",-2.436,0.175059,1.197059,-1.086716
" ",73,56,129,"Ba ","    ",-85063.0,11.0,8391.1,0.08,"B+",2436.0,11.0,128.908681,11.0,"2.23 h","1/2+",-3.738,1.414,2.436,-0.294516
" ",72,57,129,"La ","    ",-81325.0,21.0,8356.05,0.17,"B+",3739.0,22.0,128.912694,23.0,"11.6 m","(3/2+)",-5.038,2.716,3.738,0.338084
" ",71,58,129,"Ce ","   x",-76287.0,28.0,8310.94,0.22,"B+",5040.0,40.0,128.9181,30.0,"3.5 m","(5/2+)",-6.513,4.016,5.038,0.957084
" ",70,59,129,"Pr ","   x",-69774.0,30.0,8254.38,0.23,"B+",6510.0,40.0,128.9251,30.0,"30 s","(3/2+)",-7.454,5.491,6.513,1.560084
" ",69,60,129,"Nd ","  ep",-62320.0,200.0,8190.0,2.0,"B+",7460.0,200.0,128.9331,220.0,"6.7 s","(5/2+)",-9.44,6.432,7.454,1.915084
" ",68,61,129,"Pm ","   x",-52880.0,300.0,8111.0,2.0,"B+",9430.0,360.0,128.94323,320.0,"2.4 s","(5/2-)",-10.88,8.418,9.44,2.635084
" ",67,62,129,"Sm ","   x",-42000.0,500.0,8021.0,4.0,"B+",10880.0,580.0,128.95491,540.0,"0.55 s","(1/2+,3/2+)",0.0,9.858,10.88,3.175084
"0",83,47,130,"Ag "," -nn",-45700.0,500.0,8140.0,4.0,"B-",15420.0,500.0,129.95094,540.0,"50 ms","",15.418,0.0,0.0,-10.824916
" ",82,48,130,"Cd ","   x",-61118.0,22.0,8252.59,0.17,"B-",8770.0,40.0,129.934388,24.0,"162 ms","0+",8.762,-16.44,-15.418,-11.682916
" ",81,49,130,"In ","   +",-69880.0,40.0,8314.0,0.29,"B-",10250.0,40.0,129.92498,40.0,"0.29 s","1(-)",10.2522,-9.784,-8.762,-11.624916
" ",80,50,130,"Sn ","    ",-80132.2,1.9,8386.816,0.014,"B-",2153.0,14.0,129.9139745,2.0,"3.72 m","0+",2.1538,-11.2742,-10.2522,-10.300316
" ",79,51,130,"Sb ","    ",-82286.0,14.0,8397.36,0.11,"B-",5067.0,14.0,129.911663,15.0,"39.5 m","(8-)",5.066949,-3.1758,-2.1538,-6.937916
" ",78,52,130,"Te ","    ",-87352.949,0.011,8430.324,0.0,"B-",-417.0,3.0,129.906222747,0.012,"0.79e+21 y","0+",-0.416949,-6.088949,-5.066949,-3.762865
" ",77,53,130,"I  ","  -n",-86936.0,3.0,8421.1,0.024,"B-",2944.0,3.0,129.90667,3.0,"8.84 m","2+",2.944463,-0.605051,0.416949,-2.970916
" ",76,54,130,"Xe ","    ",-89880.463,0.009,8437.731,0.0,"B-",-2981.0,8.0,129.90350934900002,0.01,"stable","0+",-2.980463,-3.966463,-2.944463,-2.240079
" ",75,55,130,"Cs ","    ",-86900.0,8.0,8408.78,0.06,"B-",362.0,9.0,129.906709,9.0,"29.21 m","1+",0.3615,1.958463,2.980463,-1.413916
" ",74,56,130,"Ba ","    ",-87261.5,2.6,8405.549,0.02,"  ","*","*",129.9063209,2.7,"9.4 ms","8-",-5.6345,-1.3835,-0.3615,-0.539416
" ",73,57,130,"La ","   x",-81627.0,26.0,8356.19,0.2,"B+",5634.0,26.0,129.912369,28.0,"8.7 m","3(+)",-2.204,4.6125,5.6345,0.299084
" ",72,58,130,"Ce ","   x",-79423.0,28.0,8333.22,0.21,"B+",2200.0,40.0,129.91474,30.0,"22.9 m","0+",-8.243,1.182,2.204,0.822084
" ",71,59,130,"Pr ","   x",-71180.0,60.0,8263.8,0.5,"B+",8250.0,70.0,129.92359,70.0,"40.0 s","high j",-4.584,7.221,8.243,1.365084
" ",70,60,130,"Nd ","   x",-66596.0,28.0,8222.51,0.21,"B+",4580.0,70.0,129.92851,30.0,"13 s","0+",-11.196,3.562,4.584,1.800084
" ",69,61,130,"Pm ","   x",-55400.0,200.0,8130.0,2.0,"B+",11200.0,200.0,129.94053,210.0,"2.6 s","(4,5,6)",-7.89,10.174,11.196,2.495084
" ",68,62,130,"Sm ","   x",-47510.0,400.0,8064.0,3.0,"B+",7890.0,450.0,129.949,430.0,"None","None",-13.83,6.868,7.89,3.055084
" ",67,63,130,"Eu ","  -p",-33680.0,500.0,7951.0,4.0,"B+",13820.0,640.0,129.96384,540.0,"0.90 ms","(1+)",0.0,12.808,13.83,3.245084
"0",84,47,131,"Ag ","   x",-40380.0,500.0,8099.0,4.0,"B-",14840.0,510.0,130.95665,540.0,"35 ms","",14.84,0.0,0.0,-8.774916
" ",83,48,131,"Cd ","   x",-55220.0,100.0,8206.2,0.8,"B-",12810.0,100.0,130.94072,110.0,"68 ms","(7/2-)",12.805,-15.862,-14.84,-10.464916
" ",82,49,131,"In ","   x",-68025.0,2.7,8297.959,0.021,"B-",9240.0,5.0,130.9269721,2.9,"0.28 s","(9/2+)",9.24,-13.827,-12.805,-12.009916
" ",81,50,131,"Sn ","    ",-77265.0,4.0,8362.517,0.028,"B-",4717.0,4.0,130.917053,4.0,"56.0 s","(3/2+)",4.7164,-10.262,-9.24,-10.942916
" ",80,51,131,"Sb ","    ",-81981.4,2.1,8392.552,0.016,"B-",3229.6,2.1,130.9119893,2.2,"23.03 m","(7/2+)",3.22961,-5.7384,-4.7164,-7.510316
" ",79,52,131,"Te ","  -n",-85211.01,0.06,8411.233,0.001,"B-",2231.7,0.6,130.90852221,0.07,"33.25 h","11/2-",2.23169,-4.25161,-3.22961,-4.164926
" ",78,53,131,"I  ","   +",-87442.7,0.6,8422.297,0.005,"B-",970.8,0.6,130.9061264,0.6,"8.0252 d","7/2+",0.970858,-3.25369,-2.23169,-3.168616
" ",77,54,131,"Xe ","    ",-88413.558,0.009,8423.736,0.0,"  ","*","*",130.905084136,0.009,"11.84 d","11/2-",-0.354558,-1.992858,-0.970858,-2.556774
" ",76,55,131,"Cs ","    ",-88059.0,5.0,8415.06,0.04,"B+",355.0,5.0,130.905465,5.0,"9.689 d","5/2+",-1.3753,-0.667442,0.354558,-1.499916
" ",75,56,131,"Ba ","    ",-86683.7,2.6,8398.587,0.02,"B+",1375.0,5.0,130.9069412,2.8,"11.50 d","1/2+",-2.9147,0.3533,1.3753,-0.786616
" ",74,57,131,"La ","   x",-83769.0,28.0,8370.37,0.21,"B+",2914.0,28.0,130.91007,30.0,"59 m","3/2+",-4.059,1.8927,2.9147,0.046084
" ",73,58,131,"Ce ","    ",-79710.0,30.0,8333.4,0.25,"B+",4060.0,40.0,130.91443,40.0,"10.3 m","7/2+",-5.41,3.037,4.059,0.683084
" ",72,59,131,"Pr ","    ",-74300.0,50.0,8286.1,0.4,"B+",5410.0,60.0,130.92023,50.0,"1.51 m","(3/2+)",-6.532,4.388,5.41,1.171084
" ",71,60,131,"Nd ","    ",-67768.0,28.0,8230.3,0.21,"B+",6530.0,50.0,130.927248,30.0,"27 s","(5/2)",-8.108,5.51,6.532,1.786084
" ",70,61,131,"Pm ","   x",-59660.0,200.0,8162.0,2.0,"B+",8110.0,200.0,130.93595,220.0,"6.3 s","(11/2-)",-9.53,7.086,8.108,2.455084
" ",69,62,131,"Sm ","   x",-50130.0,400.0,8084.0,3.0,"B+",9530.0,450.0,130.94618,430.0,"1.2 s","",-10.86,8.508,9.53,2.985084
" ",68,63,131,"Eu ","  -p",-39270.0,400.0,7995.0,3.0,"B+",10860.0,570.0,130.95784,430.0,"17.8 ms","(3/2+)",0.0,9.838,10.86,3.095084
"0",85,47,132,"Ag ","   x",-33790.0,500.0,8049.0,4.0,"B-",16470.0,540.0,131.96373,540.0,"28 ms","",16.47,0.0,0.0,0.0
" ",84,48,132,"Cd ","   x",-50260.0,200.0,8168.0,1.0,"B-",12150.0,210.0,131.94604,210.0,"97 ms","0+",12.15,-17.492,-16.47,-8.194916
" ",83,49,132,"In ","   +",-62410.0,60.0,8253.7,0.5,"B-",14140.0,60.0,131.933,60.0,"0.207 s","(7-)",14.1365,-13.172,-12.15,-10.214916
" ",82,50,132,"Sn ","    ",-76546.5,2.0,8354.872,0.015,"B-",3089.0,3.0,131.9178239,2.1,"2.03 us","(8+)",3.0888,-15.1585,-14.1365,-11.729416
" ",81,51,132,"Sb ","    ",-79635.3,2.5,8372.344,0.019,"B-",5553.0,4.0,131.914508,2.6,"2.79 m","(4+)",5.5527,-4.1108,-3.0888,-7.910216
" ",80,52,132,"Te ","    ",-85188.0,3.0,8408.485,0.026,"B-",515.0,3.0,131.908547,4.0,"3.70 us","(10+)",0.515,-6.5747,-5.5527,-4.250916
" ",79,53,132,"I  ","    ",-85703.0,4.0,8406.46,0.03,"B-",3575.0,4.0,131.907994,4.0,"1.387 h","(8-)",3.575962,-1.537,-0.515,-3.497916
" ",78,54,132,"Xe ","    ",-89278.962,0.005,8427.622,0.0,"B-",-2126.3,1.0,131.904155087,0.006,"8.39 ms","(10+)",-2.126262,-4.597962,-3.575962,-2.710178
" ",77,55,132,"Cs ","    ",-87152.7,1.0,8405.587,0.008,"B-",1282.3,1.5,131.9064377,1.1,"6.480 d","2+",1.2823,1.104262,2.126262,-1.838616
" ",76,56,132,"Ba ","    ",-88435.0,1.1,8409.375,0.008,"  ","*","*",131.90506109999998,1.1,"3.0e+21 y","0+",-4.715,-2.3043,-1.2823,-0.999616
" ",75,57,132,"La ","    ",-83720.0,40.0,8367.76,0.28,"B+",4710.0,40.0,131.91012,40.0,"4.8 h","2-",-1.249,3.693,4.715,-0.212916
" ",74,58,132,"Ce ","    ",-82471.0,20.0,8352.34,0.15,"B+",1250.0,40.0,131.911464,22.0,"3.51 h","0+",-7.244,0.227,1.249,0.482084
" ",73,59,132,"Pr ","   x",-75227.0,29.0,8291.54,0.22,"B+",7240.0,40.0,131.91924,30.0,"1.6 m","(2)+",-3.801,6.222,7.244,0.978084
" ",72,60,132,"Nd ","   x",-71426.0,24.0,8256.81,0.18,"B+",3800.0,40.0,131.923321,26.0,"94 s","0+",-9.796,2.779,3.801,1.683084
" ",71,61,132,"Pm ","   x",-61630.0,150.0,8177.0,1.0,"B+",9800.0,150.0,131.93384,160.0,"6.2 s","(3+)",-6.55,8.774,9.796,2.276084
" ",70,62,132,"Sm ","   x",-55080.0,300.0,8121.0,2.0,"B+",6550.0,330.0,131.94087,320.0,"4.0 s","0+",-12.88,5.528,6.55,2.805084
" ",69,63,132,"Eu ","   x",-42200.0,400.0,8018.0,3.0,"B+",12880.0,500.0,131.9547,430.0,"None","None",0.0,11.858,12.88,3.165084
"0",85,48,133,"Cd ","   x",-43920.0,300.0,8119.0,2.0,"B-",13540.0,360.0,132.95285,320.0,"57 ms","(7/2-)",13.54,0.0,0.0,-8.734916
" ",84,49,133,"In ","   x",-57460.0,200.0,8215.0,1.0,"B-",13410.0,200.0,132.93831,210.0,"165 ms","(9/2+)",13.4139,-14.562,-13.54,-7.904916
" ",83,50,133,"Sn ","    ",-70873.9,1.9,8310.088,0.014,"B-",8050.0,4.0,132.9239138,2.0,"1.45 s","(7/2-)",8.0501,-14.4359,-13.4139,-10.240816
" ",82,51,133,"Sb ","    ",-78924.0,3.0,8364.729,0.024,"B-",4014.0,4.0,132.915272,3.0,"2.34 m","(7/2+)",4.0131,-9.0721,-8.0501,-8.511216
" ",81,52,133,"Te ","    ",-82937.1,2.1,8389.025,0.016,"B-",2921.0,7.0,132.9109633,2.2,"55.4 m","(11/2-)",2.9209,-5.0351,-4.0131,-4.771016
" ",80,53,133,"I  ","  ++",-85858.0,6.0,8405.11,0.05,"B-",1785.0,7.0,132.907827,7.0,"9 s","(19/2-)",1.7856,-3.9429,-2.9209,-3.653916
" ",79,54,133,"Xe ","   +",-87643.6,2.4,8412.647,0.018,"B-",427.4,2.4,132.9059108,2.6,"2.198 d","11/2-",0.427331,-2.8076,-1.7856,-3.063716
" ",78,55,133,"Cs ","    ",-88070.931,0.008,8409.978,0.0,"  ","*","*",132.90545196099998,0.009,"stable","7/2+",-0.517331,-1.449331,-0.427331,-1.988847
